title,agency,date
Three South Florida Residents Sentenced to Prison for Their Roles in $21 Million Sober Homes Fraud Scheme,U.S. Attorney,
Patient Services Inc. Agrees to Pay $3 Million for Allegedly Serving as a Conduit for Pharmaceutical Companies to Illegally Pay Patient Copayments,U.S. Department of Justice,
Pennsylvania Doctor Pleads Guilty to Unlawfully Distributing Oxycodone to His Patients,U.S. Department of Justice,
"Anchorage Dentist Seth Lookhart Convicted of Medical Assistance Fraud, Illegal Practice of Dentistry, Reckless Endangerment",State of Alaska Department of Law,
ResMed Corp. to Pay the United States $37.5 Million to Settle Allegations Under the False Claims Act,U.S. Attorney,
Metairie Woman Pleads Guilty to Conspiracy to Obtain Oxycodone by Fraud and to Distribute Oxycodone,U.S. Attorney,
"Northern Iowa Doctor Sentenced to Federal Prison for Making False Statements and Will Pay More Than $315,000 to Resolve False Claims Act Allegations Relating to Nursing Facility Residents",U.S. Attorney,
Psychiatrist Sentenced to Prison for Healthcare Fraud Scheme,U.S. Attorney,
Two Dentists and Office Manager Indicted for Medicaid Fraud Scheme,U.S. Attorney,
ResMed Corp. to Pay the United States $37.5 Million for Allegedly Causing the Filing of False Claims Related to the Sale of Equipment for Sleep Apnea and Other Sleep-Related Disorders,U.S. Attorney,
TMJ & Orofacial Pain Treatment Centers of Wisconsin Agree to Pay $1 Million to Resolve False Claims Act Allegations,U.S. Attorney,
Texas Doctor Found Guilty for Role in $325 Million Health Care Fraud Scheme Involving False Diagnoses of Life-Long Diseases,U.S. Department of Justice,
Mid-State Physician Charged In $7 Million Healthcare Fraud Conspiracy,U.S. Attorney,
Pittsburgh Resident Pleads Guilty to Conspiracy and Health Care Fraud,U.S. Attorney,
Metro Detroit Psychologist Sentenced to 51 Months for Health Care Fraud and Money Laundering,U.S. Attorney,
Doctor and Sales Rep Charged in $12 Million Fraud Scheme Targeting Tricare and Extensive Cover Up,U.S. Attorney,
Pittsburgh-Area Lab Owner Pleads Guilty To Multiple Kickback Conspiracies In Connection With Almost $130 Million In Medicare Claims For Genetic Testing,U.S. Attorney,
Two People in Madison County Charged with TennCare Fraud,Tennessee Department of Finance and Administration,
Montgomery County Doctor Sentenced to 12 Months in Prison for Unlawfully Distributing OxyCodone,U.S. Attorney,
Philadelphia-Based Personal Injury Law Firm Agrees to Resolve Allegations of Unpaid Medicare Debts,U.S. Attorney,
Philadelphia-Area Doctor Sentenced to 12 Months in Prison for Unlawfully Distributing Oxycodone,U.S. Department of Justice,
Nessel Charges Owner of Saginaw Treatment Center with Fraud,Michigan Attorney General,
Former Los Angeles-Area Physician Sentenced to Two Years in Federal Prison for Defrauding Medicare and Illegally Prescribing Opioid Drugs,U.S. Department of Justice,
"San Diego Eye Doctors Pay $950,000 to Settle Medicare Billing Fraud Allegations",U.S. Attorney,
Largest Independent Provider Of Intraoperative Neuromonitoring Services To Hospitals Agrees To Pay $1.9 Million To Settle Fraud Allegations,U.S. Attorney,
Federal Authorities Arrest Owner and Chief Operating Officer of TPC Family Medicine and Urgent Care Clinics in San Antonio and Laredo,U.S. Attorney,
Festus Doctor and His Company Sentenced for Health Care Fraud,U.S. Attorney,
Husband and Wife Sentenced to Prison for Roles in $38 Million Health Care Fraud and Wire Fraud Scheme,U.S. Attorney,
"Physician Group and Related Company Agree to Repay Over $800,000 to Medicare for Unnecessary Services",U.S. Attorney,
"Owner of Detroit-Area Health Care Clinics Sentenced to Prison for a Diversion Scheme Involving 500,000 Pills of Oxycodone and Other Drugs",U.S. Department of Justice,
Government obtains $10.1 million in judgments to resolve Medicaid fraud claims in False Claims Act complaint,U.S. Attorney,
Pennsylvania Doctor Pleads Guilty to Fraud and Drug Importation Charges,U.S. Department of Justice,
Brownsville Woman Charged with TennCare Fraud,Tennessee Department of Finance and Administration,
Doctor And Occupational Therapist Sentenced To Prison For Participating In $30 Million Scheme To Defraud Medicare And Medicaid,U.S. Attorney,
Laboratory to Pay $26.67 Million to Settle Allegations of Kickbacks to Physicians,U.S. Attorney,
San Joaquin County Doctor Indicted for Prescribing Opioids to Patients Without a Medical Need,U.S. Attorney,
Attorney General Ford Announces Sentencing of Las Vegas Medicaid Health Care Providers,Nevada Attorney General,
"Cambridge Internist Pays More Than $176,000 to the United States to Resolve False Claims Act Allegations that He Administered Medically Unnecessary Procedures",U.S. Attorney,
Mandeville Nurse Pleads Guilty To Conspiracy to Alter or Falsify Records In A Federal Investigation,U.S. Attorney,
Manhattan Doctor Convicted In Manhattan Federal Court Of Accepting Bribes And Kickbacks From A Pharmaceutical Company In Exchange For Prescribing Fentanyl Drug,U.S. Attorney,
"Suspended Pharmacist Charged with Health Care Fraud Conspiracy, Fraudulently Obtaining Controlled Substances and Misbranding Drugs",U.S. Attorney,
"Second Pharmaceutical Company Admits to Price Fixing, Resolves Related False Claims Act Violations",U.S. Department of Justice,
Peoria Woman Sentenced to 15 Months in Federal Prison for Healthcare Fraud,U.S. Attorney,
Former Tennessee Medical Doctor Pleads Guilty to Unlawfully Distributing Controlled Substances,U.S. Department of Justice,
Husband and Wife Sentenced to Prison for Health Care Fraud,U.S. Attorney,
"Michigan Doctor And Two Co-Conspirators Plead Guilty to Fraud, Kickback Violations Involving UAW Health Care Fund",U.S. Attorney,
Orange County Women Arrested for Aggravated Abuse of Mentally Disabled Adult,Florida Attorney General,
APRN Who Received Kickbacks from Insys Therapeutics for Prescribing Fentanyl Spray is Sentenced,U.S. Attorney,
Pittsburgh-area Lab Owner Charged with Paying Kickbacks in Connection with Almost $130 Million in Medicare Claims for Genetic Testing,U.S. Attorney,
"Texas Orthopedic Surgeon to Pay $300,000 to Settle False Claims Act Allegations",U.S. Attorney,
Laboratory to Pay $26.67 Million to Settle False Claims Act Allegations of Illegal Inducements to Referring Physicians,U.S. Department of Justice,
Owner Of Empire Pharmacy In Hudson County Admits Role In Multi-Million Dollar Conspiracies To Commit Health Care Fraud And Pay Illegal Bribes To Doctor,U.S. Attorney,
Tennessee Emergency Medical Doctor Pleads Guilty to Unlawfully Distributing Controlled Substances,U.S. Department of Justice,
Former Personal Care Aide Pleads Guilty to Health Care Fraud,U.S. Attorney,
Manhattan U.S. Attorney Announces Indictment And Arrest Of Ophthalmologist For Healthcare Fraud,U.S. Attorney,
New Jersey/Pennsylvania Doctor Pleads Guilty to Accepting Bribes and Kickbacks In Exchange for Prescribing Powerful Fentanyl Drug,U.S. Department of Justice,
Morgan Co. Man Charged with TennCare Drug Fraud,Tennessee Department of Finance and Administration,
McAllen doctor imprisoned for health care fraud scam,U.S. Attorney,
Shelby Co. Woman Charged with TennCare Fraud,Tennessee Department of Finance and Administration,
Third Foundation Resolves Allegations that it Conspired with Pharmaceutical Companies to Pay Kickbacks to Medicare Patients,U.S. Attorney,
Kentucky Hospital to Pay over $10 Million to Resolve False Claims Act Allegations,U.S. Department of Justice,
Benton Business Owner Convicted of Medicaid Fraud,Arkansas Attorney General,
Lexington Laboratory Agrees to Pay $2.1 Million to Resolve Allegations of False Claims for Urine Drug Testing Services,U.S. Attorney,
General Manager of Columbus Home Health Care Agency Pleads Guilty to Tax Fraud,U.S. Department of Justice,
"Attorney General James Announces $500,000 Settlement With Kaleida Health Following Investigation Of Infant's Death",New York Attorney General,
Mental Health Clinic Owner Pleads Guilty to Making a False Claim to Medicaid,U.S. Attorney,
Manager of Medical Clinics in Brooklyn and Queens Convicted of Multimillion-Dollar Money Laundering and Health Care Kickback Schemes,U.S. Attorney,
Owner of California Substance Abuse Treatment Facilities Charged in Scheme to Defraud ACA Programs,U.S. Attorney,
California Health System and Surgical Group Agree to Settle Claims Arising from Improper Compensation Arrangements,U.S. Department of Justice,
Head of New York Medical Clinics Found Guilty in Nearly $100 Million Money Laundering and Health Care Kickback Scheme,U.S. Department of Justice,
"AG Paxton Recovers $63.5 Million for State of Texas, U.S. Medicaid Program",Texas Attorney General,
Doctor Sentenced to 7 Months in Federal Prison for Receipt and Delivery of Misbranded Devices,U.S. Attorney,
Former CEO of Central Valley Health Clinics to Sell 13 Properties to Resolve False Claims Act Allegations,U.S. Attorney,
United States Files False Claims Act Complaint against South Dakota Neurosurgeon and Physician-Owned Distributorships,U.S. Department of Justice,
Justice Department Reaches Settlement Agreement with Vibra Healthcare and El Paso Rehabilitation Hospital over Allegations of Violating the False Claims Act,U.S. Attorney,
Louisiana Department of Health to Pay $13.42 Million to Settle Alleged False Medicaid Claims for Nursing Home and Hospice Care,U.S. Department of Justice,
Owner of Detroit-Area Health Care Clinics Pleads Guilty to Drug Diversion Scheme,U.S. Department of Justice,
"Wilmington Doctor and Medical Practice Settle Civil Fraud Claims for More Than $244,000",U.S. Attorney,
Defendants Admit Practices Resulted in Submission of Several Million Dollars of Inappropriate Claims to Medicare,U.S. Attorney,
"Health care fraud indictment charges man and his company in scheme to bilk Medicare, Medicaid",U.S. Attorney,
"Kentucky Doctor Agrees to Pay $65,404 for Allegedly Engaging in Illegal Kickback Scheme with OK Compounding Pharmacy",U.S. Attorney,
Insurance Broker Found Guilty of 22 Counts in $2 Million Scheme to Defraud Carefirst Bluecross Blueshield,U.S. Department of Justice,
"Bellevue, Washington, lab and three executives indicted in kickback scheme",U.S. Attorney,
Long Island Doctor Indicted for Illegal Distribution of Oxycodone,U.S. Attorney,
"Manhattan U.S. Attorney Announces Settlement Of Lawsuit Against Spinal Implant Company, Its CEO, And Another Executive For Paying Millions Of Dollars In Kickbacks To Surgeons",U.S. Attorney,
Former Blackfeet Tribe's chairman admits wire fraud in Head Start overtime scheme,U.S. Attorney,
"Three Individuals, Including A Former Texas Mayor, CEO and Owner, Found Guilty in a $154 Million Money Laundering and Health Care Fraud Scheme",U.S. Department of Justice,
Former Merced Health Care Provider CEO and Licensed Nurse Practitioner Sentenced to 5 Years in Prison for Health Care Fraud,U.S. Attorney,
Home Health Companies to Pay $2.5 Million to Settle Federal False Claims Act Lawsuit,U.S. Attorney,
Montgomery County Doctor Agrees to Pay $1.4 Million to Resolve Allegations of Improper Opioid Prescribing After Pleading Guilty to Related Criminal Charges,U.S. Attorney,
Dominican National Pleads Guilty to Identity Theft and Stealing MassHealth Benefits,U.S. Attorney,
"Gainesville Physician And Ex-Wife Convicted Of Health Care Fraud Conspiracy, Health Care Fraud, And Money Laundering",U.S. Attorney,
Connecticut Rheumatologist Sentenced to More Than 3 Years in Federal Prison for Defrauding Medicaid,U.S. Attorney,
Final Defendant Convicted in $189 Million Health Care Fraud Scam,U.S. Attorney,
Georgia pharmacist admits lying about filling prescriptions for high-volume opioid doctors,U.S. Attorney,
Marysville Woman Sentenced To One Year And A Day Of Imprisonment For Forging 164 Opioid Prescriptions,Middle District of Pennsylvania,
Encompass Health Corporation Agrees To Pay $4 Million To Resolve Allegations Of Improperly Billing Medicare,U.S. Attorney,
"Ex-Doctor Sentenced to More Than 11 Years' Imprisonment for His Role in Illegal Oxycodone Prescribing, Health Care Fraud, and Money Laundering Scheme and for Committing Social Security Fraud",U.S. Attorney,
